"","mean","X2.5.","X97.5."
"Psi_vM[1,1]",0.436315413240068,0.384655155741537,0.492979248219937
"Psi_vM[2,1]",0.147290724962698,0.114475569084309,0.181582361351389
"Psi_vM[1,2]",0.147290724962698,0.114475569084309,0.181582361351389
"Psi_vM[2,2]",0.392018543053996,0.355254154296168,0.43255857124506
"Psi_vY[1,1]",0.713935187056757,0.633666258157727,0.802627504473711
"Psi_vY[2,1]",0.0686314833872594,0.0357172306175751,0.102972576907136
"Psi_vY[1,2]",0.0686314833872594,0.0357172306175751,0.102972576907136
"Psi_vY[2,2]",0.263709112571634,0.23894900118154,0.291421077207749
"X_IM[1]",-0.553416274255458,-0.676004631700606,-0.440235789979075
"X_IM[2]",-0.0589374843239057,-0.104983966927203,-0.0149852909659191
"X_SM[1]",-0.176503559977938,-0.374147723397432,0.0201524796211866
"X_SM[2]",-0.227862491135154,-0.338930486296361,-0.118008018426034
"Xde[1]",-0.0196300465397877,-0.239050572032652,0.199595829481791
"Xde[2]",0.0844674858101816,-0.0374476430994987,0.206321005551362
"a0[1]",-0.0608511872776007,-0.131856770881682,0.0106643044787086
"a0[2]",0.0300355706091224,-0.0303829449413785,0.0911904078474345
"aX[1]",0.656311522692878,0.553551627134304,0.759699556941311
"aX[2]",1.71639883619994,1.62854173232873,1.80359789183992
"aZ[1,1]",-0.0139084057801436,-0.0510632496609108,0.0234902485560408
"aZ[1,2]",0.701952822949538,-1962.36479140816,1969.84672851927
"b0[1]",7.31476284440367,7.22583914598154,7.40494079645405
"b0[2]",-0.0189361277790665,-0.0687865364415165,0.0315991906766712
"bIM[1]",-0.843199784295979,-0.964870864276971,-0.722810722939789
"bIM[2]",-0.0897836320627915,-0.156528619692105,-0.0232144375324509
"bSM[1]",-0.102862572588539,-0.217502191633112,0.0117156727744556
"bSM[2]",-0.132748917731192,-0.196649930599633,-0.0689524969405255
"bX[1]",-0.0196300465397877,-0.239050572032652,0.199595829481791
"bX[2]",0.0844674858101816,-0.0374476430994987,0.206321005551362
"bZ[1,1]",0.0213874869256939,-0.0416721408788363,0.084797032287469
"bZ[1,2]",0.0118607319172781,-0.023590255096326,0.0475075494472917
"deviance",34101.7871604038,33930.2318436053,34273.2759854709
"var_eM",0.493817534253052,0.478713434727181,0.50951050380143
"var_eY",0.242410975773527,0.234923179375348,0.249832212280059
