M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,Y.1,Y.2,Y.3,Y.4,Y.5,Y.6,Y.7,Y.8,Y.9,Y.10,Y.11,Y.12,X,Z
0.129101067,2.295689433,0.337238715,2.159167435,0.30310056,1.382504555,0.480394776,-0.286200177,1.052090666,-0.270474754,0.016178321,-0.330141144,4.727479833,4.33843274,5.465127387,5.161586584,4.884473101,5.342274021,4.953869341,5.836344201,5.637006497,6.41884095,6.191602469,5.216774223,0,0.619985254
0.96117486,-0.715194898,-2.257820482,-2.746628851,-2.860595269,-4.671722365,-6.578931816,-8.121189213,-8.852650108,-12.02392258,-11.8348336,-12.29578281,0.229894807,0.396144976,0.593359951,1.79617038,2.206148438,2.896758598,3.353451633,4.527532116,4.20944452,5.528519347,5.29936743,7.143474184,0,1.111653748
-1.305760783,0.410708616,-0.308139809,0.786679973,1.235427438,1.437805142,0.843912412,1.910936478,1.655373221,2.729882306,1.867785715,1.19195424,6.654922217,6.900375635,7.509066221,6.805326477,8.089301196,6.564657463,7.299211344,7.621359155,5.681634539,6.468585879,6.560747346,6.153375312,0,-1.456745728
-0.015029559,-0.584534318,0.275903808,-0.344658335,-0.047864756,0.549372675,0.437895143,-0.659306949,-1.457496232,-0.742722972,-0.569813242,-0.636639683,8.945053296,9.784159578,8.764921206,8.965327418,8.334324433,8.637477454,7.566847648,8.128362587,8.156104238,8.440330151,7.745774869,7.7899498,0,-0.035592884
-0.998919085,0.151540713,1.558602757,3.289112916,4.670276193,6.129280294,7.780938038,10.63774513,10.08095351,12.59192751,15.18728616,16.27772349,3.728785792,4.577322163,4.857153235,5.684282304,6.835781868,5.420291036,5.067454462,6.676230508,7.158022383,7.790641555,7.250449567,6.881413664,1,-0.759179573
-1.736396108,0.955912435,3.693531541,6.26233385,10.24647893,11.36788573,14.25884378,16.68044408,18.96749747,21.75327509,23.55710683,27.06511184,-0.704603289,0.282223094,0.576651317,-0.14130774,1.97427884,1.528595764,2.274958754,3.679637603,3.957110144,4.540815225,5.38340372,5.316243179,1,-0.410099747
0.617782631,2.322865843,2.681104595,1.829826787,1.580886173,0.650270825,1.826546997,2.516466429,2.259409979,3.669591211,3.693216816,2.219248557,1.655416072,1.707448276,2.012799992,2.701277509,4.170482546,4.035309162,4.267784485,3.980005133,4.422434299,5.787098325,5.007344893,5.705184282,0,0.245167105
0.045678053,1.302651931,0.963785348,0.65539832,0.642596251,1.100290154,2.775813675,2.504882662,2.361099847,2.805120128,1.934458863,2.68775609,7.24626357,7.189314255,5.855378636,5.766043725,6.416956944,6.935748455,5.900484821,6.620826698,7.086818413,6.618800223,5.498952196,6.854421897,0,-0.171884144
-1.794201526,-1.0466609,1.682577804,3.849007331,7.03369621,8.896876973,11.49845807,13.45187962,15.63022998,17.44066314,20.6712627,23.08516205,10.08645008,10.52914628,10.01756997,10.69328042,9.647193514,9.796166994,8.394444507,9.100464168,8.279427561,8.026493626,7.063147647,7.180442832,1,0.252046434
-1.652703392,0.741712693,0.862926807,2.82827437,4.615183187,7.331982572,9.262634007,9.440921845,9.860631306,13.52386121,15.66496059,16.37989229,11.4602208,11.66045406,10.12591699,10.01863017,10.65427305,11.69621948,9.397002167,9.679480408,9.582917436,9.193379508,9.658486605,8.514259512,1,0.488982715
-0.578487413,0.913973794,2.777476304,2.483151668,2.494629136,4.10678423,3.849934761,5.776841314,4.733182065,7.684365897,8.275801047,9.023910976,13.44330659,13.73560775,13.36368504,12.74339812,12.04028669,10.16269279,10.33588141,10.07725607,8.99253762,7.400412447,7.051932453,7.050795003,1,-0.26459029
-0.890791259,0.015091727,2.755748094,2.540768739,2.200196081,2.028269332,2.825276339,2.749228047,2.297393554,3.468047169,5.178520707,5.245057208,14.05856305,14.21572023,12.88848957,12.15825095,11.11478722,11.21578721,9.644220719,9.464964573,8.972116716,7.774697975,8.240084981,6.261148454,0,1.23801894
-0.090977282,1.579414926,4.055597263,4.676566577,7.3994279,7.388877025,9.149683438,11.54396151,12.6192592,15.84487776,16.61083416,17.85939953,4.950112568,5.789128044,4.816746329,6.642617195,5.385860884,5.397441118,5.754621578,6.141000414,5.729734038,6.121019434,6.860612553,6.825137496,1,0.687420267
-0.437269317,-0.373677449,1.167850926,3.359962898,5.684062081,7.74194423,8.882592246,10.01515651,12.93681424,15.07427174,16.7915546,16.98176683,15.01417538,14.81609958,14.5921117,12.84638664,12.83652632,12.45202255,10.85464825,10.69372576,9.269407578,8.248925081,7.595000095,6.686929295,1,2.513604527
1.147457726,-0.492184011,-0.931142651,-0.99278317,-1.138697275,-1.1894434,-1.768142877,-2.669851523,-1.562052186,-2.860463554,-4.374846756,-3.02104359,4.57503893,4.989950101,5.290225127,6.198644912,6.335900076,6.415433588,7.0225958,7.254937173,7.577940178,8.549253777,7.364618349,8.396846195,0,1.936732281
0.087898838,0.435192701,1.941778709,1.940054227,3.192442481,5.117002634,4.555215279,5.257479236,5.767622502,7.372399418,7.673531662,9.057999463,12.645889,13.35754576,11.60738889,11.32293788,11.27235343,10.68257169,10.05826611,9.438190133,8.038303929,8.515675587,7.726595656,7.14070338,1,0.948554507
-1.019327491,1.437634533,3.272997876,6.734413319,8.14207257,11.17336515,12.72897673,14.4541114,17.18781689,18.38491263,19.13211715,22.74947057,22.36002668,20.25362712,19.28132362,17.71594357,15.60690707,14.10335352,12.59301552,11.37017772,10.75249039,9.660086513,7.731273851,6.674603409,1,-0.236201358
